signaltime,speed
2014/3/3 8:02,90
2014/3/3 8:02,79
2014/3/3 8:03,85
2014/3/3 8:01,77
2014/3/3 8:01,80
2014/3/3 8:03,71
2014/3/3 8:02,85
2014/3/3 8:01,71
2014/3/3 8:01,83
2014/3/3 8:02,82
2014/3/3 8:02,66
2014/3/3 8:01,79
2014/3/3 8:02,90
2014/3/3 8:02,68
2014/3/3 8:02,71
2014/3/3 8:02,78
2014/3/3 8:01,82
